68.183.154.2"-"01/Feb/2019:00:01:25 +0100"GET / HTTP/1.0"200"48333"-"Mozilla/5.0 (compatible; NetcraftSurveyAgent/1.0; +info@netcraft.com)
66.249.65.210"-"01/Feb/2019:03:32:29 +0100"GET /post/split-payment-jak-odzyskac-srodki-z-rachunku-vat HTTP/1.1"200"7190"-"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
5.196.87.50"-"01/Feb/2019:04:39:20 +0100"GET /robots.txt HTTP/1.1"404"5146"-"Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)
54.36.148.251"-"01/Feb/2019:04:39:21 +0100"GET /post/kiedy-czlonek-zarzadu-odpowie-za-zobowiazania-podatkowe-spolki-z-oo HTTP/1.1"200"7496"-"Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)
216.244.66.250"-"01/Feb/2019:04:58:33 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
185.124.85.178"-"01/Feb/2019:05:51:30 +0100"GET /wp-content/themes/twentyten/style.css HTTP/1.1"404"5158"-"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0
94.229.217.31"-"01/Feb/2019:06:02:26 +0100"GET /post/jak-usunac-przedawniona-hipoteke-przymusowa-ustanowiona-przez-urzad-skarbowy HTTP/1.1"200"8143"http://www.google.com/"Mozilla/5.0 (Linux; Android 4.4.2; SM-T235) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.76 Safari/537.36
66.249.65.210"-"01/Feb/2019:06:13:44 +0100"GET /post/czy-skarbowka-ma-dostep-twoich-rachunkow-bankowych HTTP/1.1"200"7606"-"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
66.249.65.210"-"01/Feb/2019:06:13:45 +0100"GET /robots.txt HTTP/1.1"404"5146"-"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
216.244.66.250"-"01/Feb/2019:06:34:05 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
216.244.66.250"-"01/Feb/2019:07:10:11 +0100"GET /tags/kontrola%20celno-skarbowa?page=1 HTTP/1.1"200"43635"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
157.55.39.23"-"01/Feb/2019:07:24:54 +0100"GET /robots.txt HTTP/1.1"404"5146"-"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
83.28.118.56"-"01/Feb/2019:08:01:13 +0100"GET /post/split-payment-jak-odzyskac-srodki-z-rachunku-vat HTTP/1.1"200"7193"https://www.google.com/"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:64.0) Gecko/20100101 Firefox/64.0
157.55.39.97"-"01/Feb/2019:08:06:48 +0100"GET /nasze-blogi HTTP/1.1"200"5394"-"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
157.55.39.97"-"01/Feb/2019:08:06:48 +0100"GET /?page=4 HTTP/1.1"200"7804"-"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
5.173.25.84"-"01/Feb/2019:09:10:13 +0100"GET /post/kiedy-powstaja-dochody-nieujawnione HTTP/1.1"200"7313"https://www.google.com/"Mozilla/5.0 (Linux; Android 8.0.0; RNE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36
188.147.105.191"-"01/Feb/2019:09:12:46 +0100"GET /post/co-grozi-za-handel-podrobkami HTTP/1.1"200"9889"-"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-A320FL Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/7.0 Chrome/59.0.3071.125 Mobile Safari/537.36
188.147.36.46"-"01/Feb/2019:09:37:13 +0100"GET /post/wezwanie-telefoniczne-jest-nieprawidlowe HTTP/1.1"200"7902"https://www.google.pl/"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15
216.244.66.250"-"01/Feb/2019:09:48:56 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
216.244.66.250"-"01/Feb/2019:10:22:29 +0100"GET /tags/przedawnienie%20hipoteki%20przymusowej?page=1 HTTP/1.1"200"35228"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
157.55.39.97"-"01/Feb/2019:10:24:02 +0100"GET /tags/prawa%20autorskie HTTP/1.1"200"6592"-"Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
216.244.66.250"-"01/Feb/2019:10:36:35 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
216.244.66.250"-"01/Feb/2019:11:11:06 +0100"GET /tags/handel%20podr%C3%B3bkami?page=1 HTTP/1.1"200"35682"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
145.237.2.211"-"01/Feb/2019:11:18:37 +0100"GET /post/kto-po-wejsciu-w-zycie-ustawy-o-kas-bedzie-rozpatrywal-twoja-sprawe HTTP/1.1"200"9241"http://www.google.pl/url?sa=t&rct=j&q=&esrc=s&source=web&cd=6&ved=2ahUKEwj8gJqYp5rgAhXFhaYKHbHIDIIQFjAFegQIBBAB&url=http%3A%2F%2Fwww.walkazfiskusem.pl%2Fpost%2Fkto-po-wejsciu-w-zycie-ustawy-o-kas-bedzie-rozpatrywal-twoja-sprawe&usg=AOvVaw3HCXwLzd8fFiY8Faw3TCTS"Mozilla/5.0 (Windows NT 6.3; Trident/7.0; rv:11.0) like Gecko
34.214.101.254"-"01/Feb/2019:11:19:16 +0100"GET /post/kto-po-wejsciu-w-zycie-ustawy-o-kas-bedzie-rozpatrywal-twoja-sprawe HTTP/1.1"200"47813"-"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
79.184.61.102"-"01/Feb/2019:11:33:45 +0100"GET /post/split-payment-jak-odzyskac-srodki-z-rachunku-vat HTTP/1.1"200"7194"-"Mozilla/5.0 (Android 8.0.0; Mobile; rv:61.0) Gecko/61.0 Firefox/61.0
5.189.132.132"-"01/Feb/2019:12:52:08 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
5.189.132.132"-"01/Feb/2019:12:52:27 +0100"GET / HTTP/1.1"200"48386"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
91.246.64.100"-"01/Feb/2019:13:31:27 +0100"GET /post/interpretacja-indywidualna-prawa-podatkowego-jak-dziala-i-dlaczego-warto-ja-uzyskac HTTP/1.1"200"7988"-"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763
216.244.66.250"-"01/Feb/2019:13:52:39 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)
109.201.138.231"-"01/Feb/2019:13:56:38 +0100"HEAD / HTTP/1.1"200"0"https://uptime.com/www.walkazfiskusem.pl"Mozilla/5.0 (compatible; Uptimebot/1.0; +http://www.uptime.com/uptimebot)
46.134.157.212"-"01/Feb/2019:14:08:46 +0100"GET /post/split-payment-jak-odzyskac-srodki-z-rachunku-vat HTTP/1.1"200"7195"https://www.google.com/"Mozilla/5.0 (Linux; Android 8.0.0; LON-L29 Build/HUAWEILON-L29) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.2 Chrome/67.0.3396.87 Mobile Safari/537.36
46.134.157.212"-"01/Feb/2019:14:10:14 +0100"GET /post/split-payment-jak-odzyskac-srodki-z-rachunku-vat HTTP/1.1"200"7191"https://www.google.com/"Mozilla/5.0 (Linux; Android 8.0.0; LON-L29 Build/HUAWEILON-L29) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.2 Chrome/67.0.3396.87 Mobile Safari/537.36
91.241.35.174"-"01/Feb/2019:14:28:20 +0100"GET /post/split-payment-czy-rachunek-vat-trzeba-zglosic-fiskusowi HTTP/1.1"200"7471"https://www.google.com/"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36
91.45.90.91"-"01/Feb/2019:15:00:24 +0100"GET /post/jak-usunac-przedawniona-hipoteke-przymusowa-ustanowiona-przez-urzad-skarbowy HTTP/1.1"200"8144"-"Mozilla/5.0 (Linux; U; Android 4.3.1; pl-pl; GT-P5100 Build/JLS36I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 CyanogenMod/10.2/p5100
46.215.73.157"-"01/Feb/2019:15:02:31 +0100"GET /post/kontrola-bez-zapowiedzi-juz-standard HTTP/1.1"200"7608"https://www.google.com/"Mozilla/5.0 (Linux; Android 8.0.0; BLA-L29) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36
91.45.90.91"-"01/Feb/2019:15:11:43 +0100"GET /tags/hipoteka%20urz%C4%99du%20skarbowego HTTP/1.1"200"6031"http://www.walkazfiskusem.pl/post/jak-usunac-przedawniona-hipoteke-przymusowa-ustanowiona-przez-urzad-skarbowy"Mozilla/5.0 (Linux; U; Android 4.3.1; pl-pl; GT-P5100 Build/JLS36I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 CyanogenMod/10.2/p5100
91.45.90.91"-"01/Feb/2019:15:13:01 +0100"GET /kontakt HTTP/1.1"200"5358"http://www.walkazfiskusem.pl/tags/hipoteka%20urz%C4%99du%20skarbowego"Mozilla/5.0 (Linux; U; Android 4.3.1; pl-pl; GT-P5100 Build/JLS36I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 CyanogenMod/10.2/p5100
46.229.168.142"-"01/Feb/2019:15:22:35 +0100"GET /robots.txt HTTP/1.1"404"5146"-"Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)
46.229.168.143"-"01/Feb/2019:15:22:35 +0100"GET /tags/KAS HTTP/1.1"200"7845"-"Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)
178.36.227.86"-"01/Feb/2019:16:43:45 +0100"GET /post/czy-skarbowka-ma-dostep-twoich-rachunkow-bankowych HTTP/1.1"200"7607"-"Mozilla/5.0 (Linux; U; Android 4.2.2; pl-pl; SM-T110 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30
46.229.168.137"-"01/Feb/2019:16:47:19 +0100"GET /robots.txt HTTP/1.1"404"5146"-"Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)
46.229.168.151"-"01/Feb/2019:16:47:20 +0100"GET /tags/Dochody%20nieujawnione HTTP/1.1"200"7889"-"Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)
47.92.101.198"-"01/Feb/2019:16:51:00 +0100"GET /cms/wp-admin/ HTTP/1.1"404"5148"-"-
46.229.168.152"-"01/Feb/2019:16:52:36 +0100"GET /post/problemy-podatkowe-branzy-it-do-jakiego-zrodla-przychodow-zakwalifikowac-przychod-ze-zbycia-autorskich-praw-majatkowych-do-programu-komputerowego HTTP/1.1"200"8790"-"Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)
46.229.168.131"-"01/Feb/2019:17:03:08 +0100"GET /tags/wniosek%20o%20interpretacj%C4%99%20indywidualn%C4%85?page=1 HTTP/1.1"200"7289"-"Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)
66.249.65.208"-"01/Feb/2019:17:15:51 +0100"GET /post/czy-urzad-moze-zadac-dokumentow-poza-zakresem-kontroli HTTP/1.1"200"7100"-"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
167.86.70.144"-"01/Feb/2019:17:19:45 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
167.86.70.144"-"01/Feb/2019:17:19:47 +0100"GET /?page=8 HTTP/1.1"200"43055"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:16 +0100"GET /robots.txt HTTP/1.1"404"32420"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:20 +0100"GET /tags/Naruszenia%20przepis%C3%B3w HTTP/1.1"200"38491"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:26 +0100"GET /tags/hipoteka%20urz%C4%99du%20skarbowego HTTP/1.1"200"6031"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:29 +0100"GET /tags/jak%20wykre%C5%9Bli%C4%87%20hipotek%C4%99 HTTP/1.1"200"6032"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:32 +0100"GET /tags/nadp%C5%82aty%20podatk%C3%B3w HTTP/1.1"200"6886"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:35 +0100"GET /tags/odpowiedzialno%C5%9B%C4%87%20cz%C5%82onka%20zarz%C4%85du%20za%20zobowi%C4%85zania%20podatkowe HTTP/1.1"200"6673"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:37 +0100"GET /tags/odpowiedzialno%C5%9B%C4%87%20prezesa%20sp%C3%B3%C5%82ki HTTP/1.1"200"6675"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:41 +0100"GET /tags/odpowiedzialno%C5%9B%C4%87%20zarz%C4%85du HTTP/1.1"200"6672"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:44 +0100"GET /tags/ponaglenie%20na%20nieza%C5%82atwienie%20sprawy%20w%20terminie HTTP/1.1"200"6057"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:47 +0100"GET /tags/przes%C5%82uchanie%20prezesa%20sp%C3%B3%C5%82ki%20urz%C4%85d%20skarbowy HTTP/1.1"404"5163"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:52 +0100"GET /tags/przes%C5%82uchanie%20%C5%9Bwiadka%20urz%C4%85d%20skarbowy HTTP/1.1"200"6068"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:26:57 +0100"GET /tags/wykre%C5%9Blenie%20hipoteki%20ZUS HTTP/1.1"200"6040"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:27:02 +0100"GET /tags/wykre%C5%9Blenie%20hipoteki%20urz%C4%99du%20skarbowego HTTP/1.1"200"6039"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
213.239.216.194"-"01/Feb/2019:17:27:06 +0100"GET /tags/%C5%9Arodki%20zaskar%C5%BCenia HTTP/1.1"200"8071"-"Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)
37.47.27.29"-"01/Feb/2019:17:52:14 +0100"GET /post/czy-skarbowka-ma-dostep-twoich-rachunkow-bankowych HTTP/1.1"200"7605"https://www.google.com/"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-A600FN Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36
176.9.16.209"-"01/Feb/2019:18:32:20 +0100"GET / HTTP/1.1"200"8519"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:21 +0100"GET /robots.txt HTTP/1.1"404"5146"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:22 +0100"GET /o-nas HTTP/1.1"200"6756"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:24 +0100"GET /jak-rozpoznac HTTP/1.1"200"6865"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:26 +0100"GET /nasze-blogi HTTP/1.1"200"5394"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:29 +0100"GET /kontakt HTTP/1.1"200"5358"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:31 +0100"GET /post/co-grozi-za-handel-podrobkami HTTP/1.1"200"9890"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:35 +0100"GET /tags/bezpiecze%C5%84stwo%20podatkowe HTTP/1.1"200"8638"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:38 +0100"GET /tags/handel%20podr%C3%B3bkami HTTP/1.1"200"6268"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:40 +0100"GET /tags/co%20grozi%20za%20handel%20podr%C3%B3bkami HTTP/1.1"200"6268"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:43 +0100"GET /tags/co%20grozi%20za%20sprzeda%C5%BC%20podr%C3%B3bek HTTP/1.1"200"6274"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:45 +0100"GET /tags/sprzeda%C5%BC%20podr%C3%B3bek%20z%20chin HTTP/1.1"200"6273"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:48 +0100"GET /tags/sprzeda%C5%BC%20podr%C3%B3bek HTTP/1.1"200"6274"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:50 +0100"GET /post/koszty-podatkowe-tworcow-podwyzszone-koszty-tylko-dla-wybranych-nowe-stanowisko-organow-podatkowych HTTP/1.1"200"6070"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:54 +0100"GET /tags/KAS HTTP/1.1"200"7845"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:56 +0100"GET /tags/interpretacja%20podatkowa HTTP/1.1"200"7288"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:32:58 +0100"GET /tags/interpretacja%20indywidualna%20przepis%C3%B3w%20prawa%20podatkowego HTTP/1.1"200"7290"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:00 +0100"GET /tags/wniosek%20o%20interpretacj%C4%99%20indywidualn%C4%85 HTTP/1.1"200"7289"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:03 +0100"GET /tags/interpretacja%20indywidualna%20ochrona HTTP/1.1"200"7291"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:05 +0100"GET /tags/prawa%20autorskie HTTP/1.1"200"6592"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:08 +0100"GET /tags/prawa%20autorskie%20przych%C3%B3d%20podatek HTTP/1.1"200"6597"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:10 +0100"GET /post/problemy-podatkowe-branzy-it-do-jakiego-zrodla-przychodow-zakwalifikowac-przychod-ze-zbycia-autorskich-praw-majatkowych-do-programu-komputerowego HTTP/1.1"200"8794"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:16 +0100"GET /tags/Doradca%20podatkowy HTTP/1.1"200"8825"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:17 +0100"GET /tags/Doradztwo%20podatkowe HTTP/1.1"200"7626"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:19 +0100"GET /tags/CIT HTTP/1.1"200"6336"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:22 +0100"GET /tags/podatek%20dochodowy%20od%20os%C3%B3b%20prawnych HTTP/1.1"200"6346"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:24 +0100"GET /tags/%C5%BAr%C3%B3d%C5%82a%20przychod%C3%B3w%20CIT HTTP/1.1"200"6340"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:26 +0100"GET /tags/podzia%C5%82%20na%20%C5%BAr%C3%B3d%C5%82a%20przychod%C3%B3w HTTP/1.1"200"6339"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:29 +0100"GET /tags/przychody%20z%20zysk%C3%B3w%20kapita%C5%82owych HTTP/1.1"200"6340"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:32 +0100"GET /tags/przychody%20z%20innych%20%C5%BAr%C3%B3de%C5%82 HTTP/1.1"200"6343"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:34 +0100"GET /post/split-payment-czy-rachunek-vat-trzeba-zglosic-fiskusowi HTTP/1.1"200"7474"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:37 +0100"GET /tags/split%20payment HTTP/1.1"200"6590"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
176.9.16.209"-"01/Feb/2019:18:33:39 +0100"GET /tags/VAT HTTP/1.1"200"6593"-"Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)
